2023-08-04 15:19:32.465 INFO  c.p.workshop.WorkshopApplication - Starting WorkshopApplication using Java 19.0.2 on Dwiputra with PID 20292 (C:\Workspace\pendataan-himatika\Back-end Service\workshop\target\classes started by dwipu in C:\Workspace\pendataan-himatika)
2023-08-04 15:19:32.467 INFO  c.p.workshop.WorkshopApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-04 15:19:32.616 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-04 15:19:32.616 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-04 15:19:35.097 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-04 15:19:35.442 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 305 ms. Found 7 JPA repository interfaces.
2023-08-04 15:19:38.739 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-08-04 15:19:38.771 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-08-04 15:19:38.772 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-04 15:19:38.772 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-08-04 15:19:39.069 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-04 15:19:39.070 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6453 ms
2023-08-04 15:19:39.856 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-04 15:19:40.026 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.14.Final
2023-08-04 15:19:40.706 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-08-04 15:19:40.976 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-04 15:19:41.455 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-04 15:19:41.502 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2023-08-04 15:19:44.252 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-04 15:19:44.267 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-04 15:19:46.114 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
